Provider,ClaimType,total_claims,total_billed,avg_billed,avg_claim_duration,avg_hospital_stay,FraudLabel,PotentialFraud
PRV51001,Inpatient,5,97000,19400.0,5.0,5.0,0,No
PRV51001,Outpatient,20,7640,382.0,0.55,0.0,0,No
PRV51003,Inpatient,62,573000,9241.935483870968,5.161290322580645,5.161290322580645,1,Yes
PRV51003,Outpatient,70,32670,466.7142857142857,2.357142857142857,0.0,1,Yes
PRV51004,Outpatient,149,52170,350.13422818791946,1.429530201342282,0.0,0,No
PRV51005,Outpatient,1165,280910,241.1244635193133,1.088412017167382,0.0,1,Yes
PRV51007,Inpatient,3,19000,6333.333333333333,5.333333333333333,5.333333333333333,0,No
PRV51007,Outpatient,69,14710,213.18840579710144,0.7681159420289855,0.0,0,No
PRV51008,Inpatient,2,25000,12500.0,4.0,4.0,0,No
PRV51008,Outpatient,41,10630,259.2682926829268,1.4146341463414633,0.0,0,No
PRV51011,Inpatient,1,5000,5000.0,5.0,5.0,0,No
PRV51011,Outpatient,57,11630,204.03508771929825,0.47368421052631576,0.0,0,No
PRV51012,Outpatient,48,16890,351.875,3.7083333333333335,0.0,0,No
PRV51013,Outpatient,46,14880,323.4782608695652,1.4565217391304348,0.0,0,No
PRV51014,Outpatient,30,10480,349.3333333333333,0.4666666666666667,0.0,0,No
PRV51015,Outpatient,8,700,87.5,0.375,0.0,0,No
PRV51016,Outpatient,6,170,28.333333333333332,0.3333333333333333,0.0,0,No
PRV51017,Outpatient,515,142720,277.126213592233,1.3572815533980582,0.0,0,No
PRV51021,Inpatient,29,269000,9275.862068965518,4.793103448275862,4.758620689655173,1,Yes
PRV51021,Outpatient,228,79830,350.13157894736844,1.644736842105263,0.0,1,Yes
PRV51023,Inpatient,9,54000,6000.0,3.5555555555555554,3.5555555555555554,0,No
PRV51023,Outpatient,27,11610,430.0,3.7037037037037037,0.0,0,No
PRV51024,Inpatient,9,61000,6777.777777777777,4.333333333333333,4.333333333333333,0,No
PRV51024,Outpatient,30,3050,101.66666666666667,0.8333333333333334,0.0,0,No
PRV51025,Inpatient,13,86000,6615.384615384615,7.0,7.0,0,No
PRV51025,Outpatient,74,32350,437.1621621621622,1.3243243243243243,0.0,0,No
PRV51026,Outpatient,76,19840,261.05263157894734,1.0921052631578947,0.0,0,No
PRV51027,Outpatient,53,29840,563.0188679245283,2.1320754716981134,0.0,0,No
PRV51029,Outpatient,93,30660,329.6774193548387,0.6989247311827957,0.0,0,No
PRV51030,Inpatient,82,705600,8604.878048780487,4.621951219512195,4.621951219512195,0,No
PRV51030,Outpatient,89,34160,383.82022471910113,1.8876404494382022,0.0,0,No
PRV51031,Inpatient,28,329000,11750.0,5.535714285714286,5.535714285714286,0,No
PRV51031,Outpatient,157,30720,195.6687898089172,1.3694267515923566,0.0,0,No
PRV51032,Outpatient,23,5420,235.65217391304347,0.9130434782608695,0.0,0,No
PRV51035,Inpatient,1,29000,29000.0,14.0,14.0,0,No
PRV51035,Outpatient,29,3560,122.75862068965517,1.8620689655172413,0.0,0,No
PRV51036,Outpatient,278,74880,269.3525179856115,1.0503597122302157,0.0,0,No
PRV51037,Inpatient,23,214000,9304.347826086956,4.521739130434782,4.565217391304348,1,Yes
PRV51037,Outpatient,431,128230,297.51740139211137,1.3735498839907192,0.0,1,Yes
PRV51038,Inpatient,30,229600,7653.333333333333,4.033333333333333,4.033333333333333,0,No
PRV51038,Outpatient,111,35890,323.3333333333333,1.1711711711711712,0.0,0,No
PRV51040,Inpatient,9,63000,7000.0,10.555555555555555,10.555555555555555,0,No
PRV51040,Outpatient,77,11470,148.96103896103895,0.6233766233766234,0.0,0,No
PRV51041,Outpatient,34,7410,217.94117647058823,2.3529411764705883,0.0,0,No
PRV51042,Outpatient,142,48050,338.38028169014086,1.232394366197183,0.0,0,No
PRV51043,Outpatient,23,4480,194.7826086956522,0.0,0.0,0,No
PRV51044,Outpatient,59,21330,361.52542372881356,2.152542372881356,0.0,0,No
PRV51045,Outpatient,31,8390,270.64516129032256,2.2580645161290325,0.0,0,No
PRV51046,Inpatient,8,101000,12625.0,4.5,4.5,0,No
PRV51046,Outpatient,30,8370,279.0,0.8666666666666667,0.0,0,No
PRV51047,Outpatient,11,2530,230.0,3.090909090909091,0.0,0,No
PRV51048,Inpatient,4,19000,4750.0,4.75,4.75,0,No
PRV51048,Outpatient,34,8700,255.88235294117646,0.11764705882352941,0.0,0,No
PRV51049,Outpatient,71,21720,305.9154929577465,1.7887323943661972,0.0,0,No
PRV51052,Inpatient,2,14000,7000.0,9.0,9.0,1,Yes
PRV51052,Outpatient,44,16800,381.8181818181818,1.9772727272727273,0.0,1,Yes
PRV51053,Inpatient,1,8000,8000.0,5.0,5.0,0,No
PRV51054,Outpatient,57,15130,265.43859649122805,2.3508771929824563,0.0,0,No
PRV51055,Inpatient,2,16700,8350.0,5.5,5.5,0,No
PRV51055,Outpatient,20,4940,247.0,0.1,0.0,0,No
PRV51056,Inpatient,2,8000,4000.0,3.0,3.0,0,No
PRV51056,Outpatient,20,6700,335.0,0.5,0.0,0,No
PRV51057,Outpatient,5,6830,1366.0,0.0,0.0,0,No
PRV51058,Inpatient,5,91000,18200.0,7.4,7.4,0,No
PRV51058,Outpatient,78,16030,205.51282051282053,0.9102564102564102,0.0,0,No
PRV51059,Inpatient,25,401000,16040.0,6.88,6.88,1,Yes
PRV51059,Outpatient,71,20060,282.53521126760563,0.9295774647887324,0.0,1,Yes
PRV51060,Inpatient,5,35000,7000.0,4.8,4.8,0,No
PRV51060,Outpatient,37,8710,235.40540540540542,1.972972972972973,0.0,0,No
PRV51061,Inpatient,1,3000,3000.0,8.0,8.0,0,No
PRV51061,Outpatient,144,51940,360.69444444444446,2.3541666666666665,0.0,0,No
PRV51062,Inpatient,3,45000,15000.0,4.333333333333333,4.333333333333333,0,No
PRV51062,Outpatient,394,108380,275.0761421319797,1.5761421319796953,0.0,0,No
PRV51063,Outpatient,149,51110,343.02013422818794,1.610738255033557,0.0,0,No
PRV51064,Inpatient,36,280000,7777.777777777777,5.305555555555555,5.305555555555555,1,Yes
PRV51064,Outpatient,267,80320,300.8239700374532,1.4981273408239701,0.0,1,Yes
PRV51065,Inpatient,10,75000,7500.0,5.6,5.6,0,No
PRV51065,Outpatient,18,1570,87.22222222222223,1.4444444444444444,0.0,0,No
PRV51066,Inpatient,2,19000,9500.0,2.0,2.0,0,No
PRV51066,Outpatient,22,5790,263.1818181818182,1.0,0.0,0,No
PRV51067,Inpatient,12,326000,27166.666666666668,6.583333333333333,6.583333333333333,1,Yes
PRV51067,Outpatient,46,8520,185.2173913043478,1.1956521739130435,0.0,1,Yes
PRV51068,Inpatient,9,77000,8555.555555555555,3.0,3.0,0,No
PRV51068,Outpatient,252,66260,262.93650793650795,1.3174603174603174,0.0,0,No
PRV51070,Inpatient,10,101000,10100.0,4.1,4.1,0,No
PRV51070,Outpatient,89,24410,274.2696629213483,1.6629213483146068,0.0,0,No
PRV51071,Outpatient,24,8550,356.25,2.0833333333333335,0.0,0,No
PRV51072,Inpatient,12,72000,6000.0,4.25,4.25,0,No
PRV51072,Outpatient,200,47170,235.85,1.375,0.0,0,No
PRV51074,Inpatient,5,31000,6200.0,2.6,2.6,0,No
PRV51074,Outpatient,34,10170,299.11764705882354,1.7941176470588236,0.0,0,No
PRV51075,Outpatient,17,8550,502.94117647058823,1.1764705882352942,0.0,0,No
PRV51076,Outpatient,29,10230,352.7586206896552,1.1724137931034482,0.0,0,No
PRV51077,Inpatient,16,199000,12437.5,5.9375,5.9375,1,Yes
PRV51077,Outpatient,17,5350,314.70588235294116,2.5294117647058822,0.0,1,Yes
PRV51078,Inpatient,9,76000,8444.444444444445,6.666666666666667,6.666666666666667,0,No
PRV51078,Outpatient,14,2270,162.14285714285714,0.07142857142857142,0.0,0,No
PRV51081,Inpatient,6,79000,13166.666666666666,6.0,6.0,0,No
PRV51081,Outpatient,194,45080,232.37113402061857,1.4845360824742269,0.0,0,No
PRV51082,Outpatient,34,5470,160.88235294117646,1.1764705882352942,0.0,0,No
PRV51083,Outpatient,90,18100,201.11111111111111,1.3777777777777778,0.0,0,No
PRV51084,Inpatient,20,191000,9550.0,5.65,5.65,1,Yes
PRV51084,Outpatient,90,24580,273.1111111111111,0.7888888888888889,0.0,1,Yes
PRV51086,Inpatient,31,413000,13322.58064516129,4.838709677419355,4.838709677419355,0,No
PRV51086,Outpatient,108,33170,307.1296296296296,2.212962962962963,0.0,0,No
PRV51089,Inpatient,18,177000,9833.333333333334,5.166666666666667,5.166666666666667,0,No
PRV51089,Outpatient,210,53900,256.6666666666667,1.3952380952380952,0.0,0,No
PRV51090,Outpatient,7,5830,832.8571428571429,5.714285714285714,0.0,0,No
PRV51091,Outpatient,44,9270,210.6818181818182,0.9318181818181818,0.0,0,No
PRV51093,Inpatient,2,11000,5500.0,6.0,6.0,0,No
PRV51093,Outpatient,7,2710,387.14285714285717,0.14285714285714285,0.0,0,No
PRV51096,Outpatient,5,3200,640.0,4.0,0.0,0,No
PRV51097,Outpatient,125,44420,355.36,1.744,0.0,0,No
PRV51098,Outpatient,4,300,75.0,0.0,0.0,0,No
PRV51100,Inpatient,5,78000,15600.0,6.0,6.0,0,No
PRV51101,Inpatient,3,16600,5533.333333333333,3.3333333333333335,3.3333333333333335,0,No
PRV51102,Inpatient,12,148000,12333.333333333334,4.0,4.0,0,No
PRV51103,Outpatient,6,440,73.33333333333333,0.0,0.0,1,Yes
PRV51104,Outpatient,12,1900,158.33333333333334,1.1666666666666667,0.0,0,No
PRV51105,Outpatient,12,6540,545.0,3.3333333333333335,0.0,0,No
PRV51108,Inpatient,19,156000,8210.526315789473,5.2631578947368425,5.2631578947368425,0,No
PRV51109,Inpatient,3,18000,6000.0,6.333333333333333,6.333333333333333,0,No
PRV51110,Inpatient,5,27000,5400.0,10.2,10.2,0,No
PRV51111,Outpatient,132,54860,415.6060606060606,2.462121212121212,0.0,0,No
PRV51112,Outpatient,304,105250,346.2171052631579,1.8453947368421053,0.0,0,No
PRV51113,Outpatient,132,46390,351.43939393939394,1.5454545454545454,0.0,0,No
PRV51114,Outpatient,262,76720,292.82442748091603,1.1984732824427482,0.0,0,No
PRV51115,Outpatient,7,980,140.0,0.0,0.0,0,No
PRV51117,Outpatient,12,1950,162.5,1.75,0.0,0,No
PRV51118,Inpatient,16,136000,8500.0,4.25,4.25,0,No
PRV51119,Inpatient,94,985000,10478.72340425532,5.968085106382978,5.9787234042553195,1,Yes
PRV51119,Outpatient,1,95580,95580.0,13.0,0.0,1,Yes
PRV51120,Inpatient,7,52000,7428.571428571428,4.142857142857143,4.142857142857143,0,No
