Provider,total_claims,total_billed,avg_billed,max_billed,avg_claim_duration,avg_hospital_stay,avg_deductible,avg_patient_age,inpatient_claims,outpatient_claims,unique_patients,unique_physicians,patient_death_rate,FraudLabel,inpatient_ratio,claims_per_patient,billed_per_patient,PotentialFraud,FraudProbability
PRV51001,25,104640,4185.6,42000,1.44,1.0,213.6,77.88,5,20,24,14,0.0,0,0.2,1.0416666666666667,4360.0,No,0.0255
PRV51003,132,605670,4588.409090909091,57000,3.6742424242424243,2.4242424242424243,502.1666666666667,69.10606060606061,62,70,117,44,0.007575757575757576,1,0.4696969696969697,1.1282051282051282,5176.666666666667,Yes,0.825
PRV51004,149,52170,350.13422818791946,3300,1.429530201342282,0.0,2.0805369127516777,71.30201342281879,0,149,138,38,0.006711409395973154,0,0.0,1.0797101449275361,378.04347826086956,No,0.0033
PRV51005,1165,280910,241.1244635193133,4080,1.088412017167382,0.0,3.1759656652360513,69.56738197424893,0,1165,495,7,0.0034334763948497852,1,0.0,2.3535353535353534,567.4949494949495,Yes,0.1225
PRV51007,72,33710,468.19444444444446,10000,0.9583333333333334,0.2222222222222222,45.333333333333336,68.375,3,69,58,10,0.013888888888888888,0,0.041666666666666664,1.2413793103448276,581.2068965517242,No,0.0456
PRV51008,43,35630,828.6046511627907,21000,1.5348837209302326,0.18604651162790697,53.86046511627907,74.65116279069767,2,41,36,10,0.0,0,0.046511627906976744,1.1944444444444444,989.7222222222222,No,0.0063
PRV51011,58,16630,286.7241379310345,5000,0.5517241379310345,0.08620689655172414,23.586206896551722,73.46551724137932,1,57,53,28,0.017241379310344827,0,0.017241379310344827,1.0943396226415094,313.77358490566036,No,0.0025
PRV51012,48,16890,351.875,3300,3.7083333333333335,0.0,2.0833333333333335,73.5625,0,48,31,15,0.0,0,0.0,1.5483870967741935,544.8387096774194,No,0.0018
PRV51013,46,14880,323.4782608695652,1800,1.4565217391304348,0.0,5.0,73.47826086956522,0,46,44,9,0.0,0,0.0,1.0454545454545454,338.1818181818182,No,0.0078
PRV51014,30,10480,349.3333333333333,3300,0.4666666666666667,0.0,4.0,70.23333333333333,0,30,25,8,0.03333333333333333,0,0.0,1.2,419.2,No,0.0051
PRV51015,8,700,87.5,200,0.375,0.0,0.0,71.125,0,8,7,3,0.0,0,0.0,1.1428571428571428,100.0,No,0.0012
PRV51016,6,170,28.333333333333332,90,0.3333333333333333,0.0,0.0,69.83333333333333,0,6,6,3,0.0,0,0.0,1.0,28.333333333333332,No,0.002
PRV51017,515,142720,277.126213592233,3300,1.3572815533980582,0.0,2.0388349514563107,71.71456310679612,0,515,420,114,0.009708737864077669,0,0.0,1.2261904761904763,339.8095238095238,No,0.0154
PRV51021,257,348830,1357.3151750972763,57000,2.0,0.5369649805447471,122.53696498054475,72.1556420233463,29,228,208,70,0.0038910505836575876,1,0.11284046692607004,1.2355769230769231,1677.0673076923076,Yes,0.6722
PRV51023,36,65610,1822.5,13000,3.6666666666666665,0.8888888888888888,239.55555555555554,72.36111111111111,9,27,35,14,0.0,0,0.25,1.0285714285714285,1874.5714285714287,No,0.0187
PRV51024,39,64050,1642.3076923076924,13000,1.641025641025641,1.0,248.76923076923077,67.76923076923077,9,30,38,13,0.0,0,0.23076923076923078,1.0263157894736843,1685.5263157894738,No,0.0101
PRV51025,87,118350,1360.344827586207,17000,2.1724137931034484,1.0459770114942528,164.183908045977,73.11494252873563,13,74,76,36,0.0,0,0.14942528735632185,1.144736842105263,1557.2368421052631,No,0.0657
PRV51026,76,19840,261.05263157894734,3300,1.0921052631578947,0.0,4.473684210526316,69.15789473684211,0,76,56,29,0.013157894736842105,0,0.0,1.3571428571428572,354.2857142857143,No,0.0096
PRV51027,53,29840,563.0188679245283,3300,2.1320754716981134,0.0,0.0,72.52830188679245,0,53,44,10,0.018867924528301886,0,0.0,1.2045454545454546,678.1818181818181,No,0.0074
PRV51029,93,30660,329.6774193548387,3300,0.6989247311827957,0.0,1.7204301075268817,70.48387096774194,0,93,79,38,0.010752688172043012,0,0.0,1.1772151898734178,388.1012658227848,No,0.0026
PRV51030,171,739760,4326.081871345029,57000,3.198830409356725,2.216374269005848,507.29824561403507,71.45029239766082,82,89,145,46,0.011695906432748537,0,0.47953216374269003,1.1793103448275861,5101.793103448276,No,0.4333
PRV51031,185,359720,1944.4324324324325,68000,2.0,0.8378378378378378,163.48108108108107,72.2054054054054,28,157,157,60,0.005405405405405406,0,0.15135135135135136,1.178343949044586,2291.2101910828023,No,0.7176
PRV51032,23,5420,235.65217391304347,2900,0.9130434782608695,0.0,2.1739130434782608,69.08695652173913,0,23,21,10,0.043478260869565216,0,0.0,1.0952380952380953,258.0952380952381,No,0.0059
PRV51035,30,32560,1085.3333333333333,29000,2.2666666666666666,0.4666666666666667,47.6,73.43333333333334,1,29,25,18,0.0,0,0.03333333333333333,1.2,1302.4,No,0.0064
PRV51036,278,74880,269.3525179856115,4400,1.0503597122302157,0.0,5.071942446043166,72.18705035971223,0,278,131,5,0.0,0,0.0,2.122137404580153,571.6030534351145,No,0.0363
PRV51037,454,342230,753.8105726872246,23000,1.5330396475770924,0.23127753303964757,56.220264317180614,71.46035242290749,23,431,206,4,0.022026431718061675,1,0.05066079295154185,2.203883495145631,1661.3106796116506,Yes,0.7479
PRV51038,141,265490,1882.9078014184397,17000,1.7801418439716312,0.8581560283687943,221.21985815602838,71.12056737588652,30,111,107,44,0.0070921985815602835,0,0.2127659574468085,1.3177570093457944,2481.214953271028,No,0.1893
PRV51040,86,74470,865.9302325581396,21000,1.6627906976744187,1.1046511627906976,102.13953488372093,70.79069767441861,9,77,69,16,0.011627906976744186,0,0.10465116279069768,1.2463768115942029,1079.2753623188405,No,0.0338
PRV51041,34,7410,217.94117647058823,3200,2.3529411764705883,0.0,7.9411764705882355,69.88235294117646,0,34,31,9,0.0,0,0.0,1.096774193548387,239.03225806451613,No,0.0056
PRV51042,142,48050,338.38028169014086,3300,1.232394366197183,0.0,2.183098591549296,72.16901408450704,0,142,128,52,0.0,0,0.0,1.109375,375.390625,No,0.0032
PRV51043,23,4480,194.7826086956522,1100,0.0,0.0,0.0,73.65217391304348,0,23,20,6,0.0,0,0.0,1.15,224.0,No,0.0009
PRV51044,59,21330,361.52542372881356,3300,2.152542372881356,0.0,2.2033898305084745,68.77966101694915,0,59,39,1,0.0,0,0.0,1.5128205128205128,546.9230769230769,No,0.0022
PRV51045,31,8390,270.64516129032256,3300,2.2580645161290325,0.0,1.2903225806451613,70.93548387096774,0,31,29,16,0.0,0,0.0,1.0689655172413792,289.3103448275862,No,0.0015
PRV51046,38,109370,2878.157894736842,38000,1.631578947368421,0.9473684210526315,227.47368421052633,71.73684210526316,8,30,26,6,0.0,0,0.21052631578947367,1.4615384615384615,4206.538461538462,No,0.0345
PRV51047,11,2530,230.0,1300,3.090909090909091,0.0,0.0,70.0,0,11,11,10,0.0,0,0.0,1.0,230.0,No,0.0012
PRV51048,38,27700,728.9473684210526,7000,0.6052631578947368,0.5,114.52631578947368,69.89473684210526,4,34,33,15,0.0,0,0.10526315789473684,1.1515151515151516,839.3939393939394,No,0.0697
PRV51049,71,21720,305.9154929577465,3300,1.7887323943661972,0.0,2.676056338028169,70.35211267605634,0,71,65,35,0.0,0,0.0,1.0923076923076922,334.15384615384613,No,0.0018
PRV51052,46,30800,669.5652173913044,9000,2.282608695652174,0.391304347826087,51.0,71.15217391304348,2,44,37,17,0.0,1,0.043478260869565216,1.2432432432432432,832.4324324324324,Yes,0.05
PRV51053,1,8000,8000.0,8000,5.0,5.0,1068.0,68.0,1,0,1,1,0.0,0,1.0,1.0,8000.0,No,0.0014
PRV51054,57,15130,265.43859649122805,1900,2.3508771929824563,0.0,2.456140350877193,69.94736842105263,0,57,40,3,0.0,0,0.0,1.425,378.25,No,0.0069
PRV51055,22,21640,983.6363636363636,16000,0.5909090909090909,0.5,100.27272727272727,68.18181818181819,2,20,22,6,0.0,0,0.09090909090909091,1.0,983.6363636363636,No,0.0048
PRV51056,22,14700,668.1818181818181,5000,0.7272727272727273,0.2727272727272727,97.54545454545455,76.31818181818181,2,20,21,5,0.0,0,0.09090909090909091,1.0476190476190477,700.0,No,0.0095
PRV51057,5,6830,1366.0,3300,0.0,0.0,0.0,77.8,0,5,4,1,0.0,0,0.0,1.25,1707.5,No,0.0034
PRV51058,83,107030,1289.5180722891566,57000,1.3012048192771084,0.4457831325301205,66.74698795180723,73.0,5,78,75,31,0.0,0,0.060240963855421686,1.1066666666666667,1427.0666666666666,No,0.039
PRV51059,96,421060,4386.041666666667,57000,2.4791666666666665,1.7916666666666667,280.625,73.65625,25,71,82,30,0.0,1,0.2604166666666667,1.170731707317073,5134.878048780488,Yes,0.5811
PRV51060,42,43710,1040.7142857142858,14000,2.3095238095238093,0.5714285714285714,127.14285714285714,70.85714285714286,5,37,42,29,0.0,0,0.11904761904761904,1.0,1040.7142857142858,No,0.0138
PRV51061,145,54940,378.8965517241379,6700,2.393103448275862,0.05517241379310345,9.158620689655173,76.55172413793103,1,144,67,7,0.0,0,0.006896551724137931,2.1641791044776117,820.0,No,0.037
PRV51062,397,153380,386.3476070528967,25000,1.5969773299748111,0.0327455919395466,9.934508816120907,72.3425692695214,3,394,166,6,0.0,0,0.007556675062972292,2.391566265060241,923.9759036144578,No,0.1284
PRV51063,149,51110,343.02013422818794,3300,1.610738255033557,0.0,1.0738255033557047,68.93288590604027,0,149,115,3,0.006711409395973154,0,0.0,1.2956521739130435,444.4347826086956,No,0.0066
PRV51064,303,360320,1189.1749174917493,37000,1.9504950495049505,0.6303630363036303,128.54125412541254,72.4983498349835,36,267,227,111,0.0033003300330033004,1,0.1188118811881188,1.3348017621145374,1587.3127753303966,Yes,0.7702
PRV51065,28,76570,2734.6428571428573,11000,2.9285714285714284,2.0,347.2142857142857,74.67857142857143,10,18,26,9,0.0,0,0.35714285714285715,1.0769230769230769,2945.0,No,0.0669
PRV51066,24,24790,1032.9166666666667,15000,1.0833333333333333,0.16666666666666666,93.16666666666667,68.125,2,22,21,7,0.041666666666666664,0,0.08333333333333333,1.1428571428571428,1180.4761904761904,No,0.0045
PRV51067,58,334520,5767.586206896552,83000,2.310344827586207,1.3620689655172413,225.79310344827587,67.46551724137932,12,46,49,21,0.0,1,0.20689655172413793,1.183673469387755,6826.938775510204,Yes,0.6607
PRV51068,261,143260,548.8888888888889,19000,1.3754789272030652,0.10344827586206896,34.42145593869732,70.27969348659003,9,252,214,79,0.011494252873563218,0,0.034482758620689655,1.219626168224299,669.4392523364486,No,0.0342
PRV51070,99,125410,1266.7676767676767,22000,1.9090909090909092,0.41414141414141414,110.9090909090909,69.4949494949495,10,89,69,46,0.0,0,0.10101010101010101,1.434782608695652,1817.536231884058,No,0.0602
PRV51071,24,8550,356.25,3200,2.0833333333333335,0.0,2.0833333333333335,68.08333333333333,0,24,24,11,0.0,0,0.0,1.0,356.25,No,0.0013
PRV51072,212,119170,562.122641509434,14000,1.5377358490566038,0.24056603773584906,57.443396226415096,71.89150943396227,12,200,160,48,0.018867924528301886,0,0.05660377358490566,1.325,744.8125,No,0.0351
PRV51074,39,41170,1055.6410256410256,15000,1.8974358974358974,0.3333333333333333,138.97435897435898,72.51282051282051,5,34,39,14,0.0,0,0.1282051282051282,1.0,1055.6410256410256,No,0.0099
PRV51075,17,8550,502.94117647058823,3000,1.1764705882352942,0.0,4.117647058823529,76.29411764705883,0,17,13,4,0.0,0,0.0,1.3076923076923077,657.6923076923077,No,0.004
PRV51076,29,10230,352.7586206896552,3300,1.1724137931034482,0.0,1.7241379310344827,75.24137931034483,0,29,27,8,0.034482758620689655,0,0.0,1.0740740740740742,378.8888888888889,No,0.0042
PRV51077,33,204350,6192.424242424242,56000,4.181818181818182,2.878787878787879,491.5151515151515,69.96969696969697,16,17,30,11,0.0,1,0.48484848484848486,1.1,6811.666666666667,Yes,0.7577
PRV51078,23,78270,3403.0434782608695,16000,2.652173913043478,2.608695652173913,375.82608695652175,70.26086956521739,9,14,23,13,0.0,0,0.391304347826087,1.0,3403.0434782608695,No,0.0404
PRV51081,200,124080,620.4,48000,1.62,0.18,35.84,71.79,6,194,131,4,0.005,0,0.03,1.5267175572519085,947.175572519084,No,0.0622
PRV51082,34,5470,160.88235294117646,1000,1.1764705882352942,0.0,2.0588235294117645,72.08823529411765,0,34,31,9,0.0,0,0.0,1.096774193548387,176.4516129032258,No,0.0019
PRV51083,90,18100,201.11111111111111,3300,1.3777777777777778,0.0,1.5555555555555556,74.33333333333333,0,90,81,18,0.0,0,0.0,1.1111111111111112,223.45679012345678,No,0.0021
PRV51084,110,215580,1959.8181818181818,45000,1.6727272727272726,1.0272727272727273,199.0,71.87272727272727,20,90,85,32,0.0,1,0.18181818181818182,1.2941176470588236,2536.235294117647,Yes,0.4011
PRV51086,139,446170,3209.856115107914,57000,2.7985611510791366,1.079136690647482,238.61870503597123,74.16546762589928,31,108,115,24,0.014388489208633094,0,0.22302158273381295,1.208695652173913,3879.7391304347825,No,0.1995
PRV51089,228,230900,1012.719298245614,41000,1.6929824561403508,0.40789473684210525,82.0,70.64035087719299,18,210,197,73,0.008771929824561403,0,0.07894736842105263,1.1573604060913705,1172.0812182741117,No,0.1037
PRV51090,7,5830,832.8571428571429,3300,5.714285714285714,0.0,8.571428571428571,71.28571428571429,0,7,7,3,0.0,0,0.0,1.0,832.8571428571429,No,0.0026
PRV51091,44,9270,210.6818181818182,2100,0.9318181818181818,0.0,1.8181818181818181,68.54545454545455,0,44,44,19,0.022727272727272728,0,0.0,1.0,210.6818181818182,No,0.0153
PRV51093,9,13710,1523.3333333333333,11000,1.4444444444444444,1.3333333333333333,237.33333333333334,75.33333333333333,2,7,9,6,0.0,0,0.2222222222222222,1.0,1523.3333333333333,No,0.0022
PRV51096,5,3200,640.0,2100,4.0,0.0,20.0,84.4,0,5,5,3,0.0,0,0.0,1.0,640.0,No,0.0021
PRV51097,125,44420,355.36,3500,1.744,0.0,1.84,70.4,0,125,71,1,0.0,0,0.0,1.7605633802816902,625.6338028169014,No,0.0037
PRV51098,4,300,75.0,200,0.0,0.0,0.0,81.75,0,4,4,2,0.0,0,0.0,1.0,75.0,No,0.0022
PRV51100,5,78000,15600.0,33000,6.0,6.0,1068.0,70.0,5,0,5,3,0.2,0,1.0,1.0,15600.0,No,0.219
PRV51101,3,16600,5533.333333333333,13000,3.3333333333333335,3.3333333333333335,1068.0,56.333333333333336,3,0,3,1,0.0,0,1.0,1.0,5533.333333333333,No,0.0018
PRV51102,12,148000,12333.333333333334,47000,4.0,4.0,1068.0,79.58333333333333,12,0,11,3,0.0,0,1.0,1.0909090909090908,13454.545454545454,No,0.0791
PRV51103,6,440,73.33333333333333,200,0.0,0.0,10.0,76.5,0,6,4,3,0.0,1,0.0,1.5,110.0,Yes,0.0504
PRV51104,12,1900,158.33333333333334,700,1.1666666666666667,0.0,9.166666666666666,78.25,0,12,9,2,0.0,0,0.0,1.3333333333333333,211.11111111111111,No,0.005
PRV51105,12,6540,545.0,1800,3.3333333333333335,0.0,0.0,75.58333333333333,0,12,12,2,0.0,0,0.0,1.0,545.0,No,0.0011
PRV51108,19,156000,8210.526315789473,22000,5.2631578947368425,5.2631578947368425,1011.7894736842105,71.47368421052632,19,0,19,6,0.0,0,1.0,1.0,8210.526315789473,No,0.1015
PRV51109,3,18000,6000.0,8000,6.333333333333333,6.333333333333333,1068.0,55.666666666666664,3,0,3,1,0.0,0,1.0,1.0,6000.0,No,0.0026
PRV51110,5,27000,5400.0,9000,10.2,10.2,1068.0,67.6,5,0,5,3,0.0,0,1.0,1.0,5400.0,No,0.0052
PRV51111,132,54860,415.6060606060606,7010,2.462121212121212,0.0,1.5151515151515151,72.25,0,132,85,4,0.0,0,0.0,1.5529411764705883,645.4117647058823,No,0.0111
PRV51112,304,105250,346.2171052631579,4100,1.8453947368421053,0.0,2.664473684210526,70.79605263157895,0,304,195,7,0.03289473684210526,0,0.0,1.558974358974359,539.7435897435897,No,0.0175
PRV51113,132,46390,351.43939393939394,3300,1.5454545454545454,0.0,4.166666666666667,70.96212121212122,0,132,78,3,0.045454545454545456,0,0.0,1.6923076923076923,594.7435897435897,No,0.0109
PRV51114,262,76720,292.82442748091603,8200,1.1984732824427482,0.0,2.1374045801526718,69.89312977099236,0,262,160,6,0.022900763358778626,0,0.0,1.6375,479.5,No,0.0561
PRV51115,7,980,140.0,600,0.0,0.0,2.857142857142857,72.28571428571429,0,7,6,3,0.0,0,0.0,1.1666666666666667,163.33333333333334,No,0.001
PRV51117,12,1950,162.5,1400,1.75,0.0,0.0,68.33333333333333,0,12,10,4,0.0,0,0.0,1.2,195.0,No,0.0006
PRV51118,16,136000,8500.0,22000,4.25,4.25,934.5,66.6875,16,0,16,4,0.0,0,1.0,1.0,8500.0,No,0.1437
PRV51119,95,1080580,11374.526315789473,118000,6.042105263157895,5.91578947368421,1020.8947368421053,74.4,94,1,81,8,0.010526315789473684,1,0.9894736842105263,1.1728395061728396,13340.493827160493,Yes,0.9713
PRV51120,7,52000,7428.571428571428,15000,4.142857142857143,4.142857142857143,1068.0,60.857142857142854,7,0,7,1,0.0,0,1.0,1.0,7428.571428571428,No,0.0112
PRV51121,7,81080,11582.857142857143,45000,5.571428571428571,5.571428571428571,915.4285714285714,66.14285714285714,6,1,7,3,0.14285714285714285,0,0.8571428571428571,1.0,11582.857142857143,No,0.1008
PRV51122,7,1120,160.0,500,0.0,0.0,0.0,66.0,0,7,7,7,0.0,0,0.0,1.0,160.0,No,0.0007
PRV51123,31,26910,868.0645161290323,5000,2.4838709677419355,0.16129032258064516,70.19354838709677,68.54838709677419,2,29,28,21,0.0,0,0.06451612903225806,1.1071428571428572,961.0714285714286,No,0.0033
PRV51125,48,131310,2735.625,30000,2.4791666666666665,1.0833333333333333,272.8333333333333,70.125,12,36,32,36,0.0,0,0.25,1.5,4103.4375,No,0.0643
PRV51126,20,177000,8850.0,25000,6.5,6.5,1068.0,69.25,20,0,14,2,0.0,1,1.0,1.4285714285714286,12642.857142857143,Yes,0.5174
PRV51128,50,102220,2044.4,29000,2.34,0.64,106.8,67.74,5,45,38,19,0.0,0,0.1,1.3157894736842106,2690.0,No,0.0723
PRV51129,96,22920,238.75,2000,1.3541666666666667,0.0,5.0,73.16666666666667,0,96,65,55,0.0,0,0.0,1.476923076923077,352.61538461538464,No,0.0041
PRV51130,7,4970,710.0,3100,2.857142857142857,0.0,0.0,61.285714285714285,0,7,7,2,0.0,0,0.0,1.0,710.0,No,0.0007
PRV51131,8,1160,145.0,800,0.0,0.0,8.75,73.875,0,8,8,4,0.0,0,0.0,1.0,145.0,No,0.0013
PRV51132,8,5330,666.25,4000,1.75,0.5,133.5,73.75,1,7,6,5,0.0,0,0.125,1.3333333333333333,888.3333333333334,No,0.002
PRV51134,15,7610,507.3333333333333,2900,2.6666666666666665,0.0,5.333333333333333,62.93333333333333,0,15,12,3,0.0,0,0.0,1.25,634.1666666666666,No,0.002
PRV51135,5,300,60.0,90,0.0,0.0,0.0,67.0,0,5,2,1,0.0,0,0.0,2.5,150.0,No,0.0027
PRV51136,1,20000,20000.0,20000,2.0,2.0,1068.0,70.0,1,0,1,1,0.0,0,1.0,1.0,20000.0,No,0.002
PRV51137,55,16050,291.8181818181818,6000,0.2,0.12727272727272726,24.509090909090908,71.67272727272727,1,54,51,23,0.01818181818181818,0,0.01818181818181818,1.0784313725490196,314.70588235294116,No,0.0032
PRV51138,26,13430,516.5384615384615,6000,1.5384615384615385,0.038461538461538464,41.07692307692308,72.03846153846153,1,25,21,7,0.0,0,0.038461538461538464,1.2380952380952381,639.5238095238095,No,0.0019
PRV51139,43,52580,1222.7906976744187,14000,2.4651162790697674,0.627906976744186,174.7906976744186,73.83720930232558,7,36,42,34,0.0,0,0.16279069767441862,1.0238095238095237,1251.904761904762,No,0.0179
PRV51140,487,453130,930.4517453798768,16000,2.1047227926078027,0.5811088295687885,103.52772073921972,72.43121149897331,47,440,394,6,0.0,0,0.09650924024640657,1.236040609137056,1150.0761421319796,No,0.1274
PRV51141,71,19490,274.50704225352115,1900,1.732394366197183,0.0,2.3943661971830985,73.98591549295774,0,71,37,9,0.0,0,0.0,1.9189189189189189,526.7567567567568,No,0.0015
PRV51142,51,104570,2050.392156862745,57000,1.9215686274509804,1.0196078431372548,147.76470588235293,72.45098039215686,7,44,38,15,0.0,0,0.13725490196078433,1.3421052631578947,2751.842105263158,No,0.1237
PRV51143,77,20450,265.5844155844156,3300,0.987012987012987,0.0,4.545454545454546,71.66233766233766,0,77,68,27,0.012987012987012988,0,0.0,1.1323529411764706,300.7352941176471,No,0.0024
PRV51144,30,61220,2040.6666666666667,33000,1.8,0.6666666666666666,149.73333333333332,76.16666666666667,4,26,29,14,0.03333333333333333,0,0.13333333333333333,1.0344827586206897,2111.0344827586205,No,0.0176
PRV51145,202,1606350,7952.227722772277,46000,4.900990099009901,4.732673267326732,825.4851485148515,72.67821782178218,161,41,161,37,0.0049504950495049506,1,0.7970297029702971,1.2546583850931676,9977.329192546584,Yes,0.9898
PRV51146,352,1680910,4775.3125,57000,3.4232954545454546,2.3238636363636362,487.6988636363636,73.6534090909091,162,190,334,78,0.011363636363636364,1,0.4602272727272727,1.0538922155688624,5032.664670658683,Yes,0.9296
PRV51147,32,8860,276.875,3300,2.5,0.0,6.5625,71.0625,0,32,32,23,0.0,0,0.0,1.0,276.875,No,0.0024
PRV51148,330,488660,1480.7878787878788,37000,1.8484848484848484,0.41515151515151516,109.98181818181818,73.07878787878788,34,296,263,61,0.0,1,0.10303030303030303,1.2547528517110267,1858.0228136882129,Yes,0.6669
PRV51149,148,1120680,7572.1621621621625,57000,4.6891891891891895,4.398648648648648,837.5540540540541,71.25,116,32,136,25,0.0,1,0.7837837837837838,1.088235294117647,8240.29411764706,Yes,0.9616
PRV51151,233,201300,863.9484978540772,16000,1.6952789699570816,0.3948497854077253,99.99141630901288,73.03004291845494,22,211,225,97,0.004291845493562232,0,0.0944206008583691,1.0355555555555556,894.6666666666666,No,0.1015
PRV51152,83,25770,310.48192771084337,3300,1.7228915662650603,0.0,6.024096385542169,72.89156626506023,0,83,39,3,0.0,0,0.0,2.128205128205128,660.7692307692307,No,0.0026
PRV51153,87,71490,821.7241379310345,34000,1.4022988505747127,0.40229885057471265,56.3448275862069,72.25287356321839,4,83,83,52,0.022988505747126436,0,0.04597701149425287,1.0481927710843373,861.3253012048193,No,0.0245
PRV51154,161,45750,284.16149068322983,8100,1.3229813664596273,0.0,4.906832298136646,74.11801242236025,0,161,147,4,0.006211180124223602,0,0.0,1.0952380952380953,311.2244897959184,No,0.0111
PRV51155,115,26330,228.95652173913044,3300,1.0434782608695652,0.0,1.391304347826087,72.5391304347826,0,115,110,1,0.008695652173913044,0,0.0,1.0454545454545454,239.36363636363637,No,0.0033
PRV51156,542,140640,259.48339483394835,3300,1.367158671586716,0.0,3.1734317343173433,72.9520295202952,0,542,425,3,0.0018450184501845018,0,0.0,1.275294117647059,330.91764705882355,No,0.049
PRV51159,569,797790,1402.091388400703,57000,1.7398945518453428,0.6432337434094904,123.81370826010544,73.60632688927944,65,504,506,100,0.005272407732864675,1,0.11423550087873462,1.1245059288537549,1576.6600790513835,Yes,0.8445
PRV51160,114,872020,7649.298245614035,57000,4.87719298245614,4.464912280701754,843.3333333333334,72.97368421052632,90,24,110,23,0.0,0,0.7894736842105263,1.0363636363636364,7927.454545454545,No,0.5008
PRV51164,391,556980,1424.5012787723786,41000,1.659846547314578,0.659846547314578,113.93350383631713,72.65473145780051,41,350,334,8,0.0,0,0.10485933503836317,1.1706586826347305,1667.6047904191616,No,0.2189
PRV51165,98,329700,3364.285714285714,57000,2.4489795918367347,1.7448979591836735,286.61224489795916,74.62244897959184,26,72,97,62,0.0,0,0.2653061224489796,1.0103092783505154,3398.9690721649486,No,0.1686
PRV51166,5,24870,4974.0,22000,3.2,3.2,213.6,71.0,1,4,5,4,0.0,0,0.2,1.0,4974.0,No,0.0101
PRV51167,190,51980,273.57894736842104,3300,1.7421052631578948,0.0,2.1578947368421053,73.78947368421052,0,190,182,22,0.005263157894736842,0,0.0,1.043956043956044,285.6043956043956,No,0.0069
PRV51168,87,80470,924.9425287356322,25000,0.7701149425287356,0.5402298850574713,112.4367816091954,72.96551724137932,9,78,86,14,0.011494252873563218,0,0.10344827586206896,1.0116279069767442,935.6976744186046,No,0.0108
PRV51169,77,19380,251.6883116883117,3300,1.4935064935064934,0.0,0.6493506493506493,74.25974025974025,0,77,74,51,0.0,0,0.0,1.0405405405405406,261.8918918918919,No,0.0012
PRV51170,16,145820,9113.75,57000,3.125,3.125,534.0,72.25,8,8,16,8,0.0,1,0.5,1.0,9113.75,Yes,0.6561
PRV51171,59,13820,234.23728813559322,3300,1.576271186440678,0.0,3.389830508474576,72.45762711864407,0,59,59,38,0.0,0,0.0,1.0,234.23728813559322,No,0.0013
PRV51173,22,96290,4376.818181818182,29000,4.318181818181818,2.5,348.90909090909093,72.54545454545455,7,15,21,12,0.0,1,0.3181818181818182,1.0476190476190477,4585.238095238095,Yes,0.6438
PRV51175,41,9650,235.3658536585366,2100,0.6585365853658537,0.0,2.1951219512195124,71.02439024390245,0,41,39,21,0.0,0,0.0,1.0512820512820513,247.43589743589743,No,0.0033
PRV51176,445,145980,328.0449438202247,7500,2.0651685393258425,0.0,1.9550561797752808,72.42247191011236,0,445,399,129,0.0044943820224719105,0,0.0,1.1152882205513786,365.8646616541353,No,0.0238
PRV51178,65,431180,6633.538461538462,43000,4.523076923076923,4.1692307692307695,563.1076923076923,70.58461538461539,34,31,64,19,0.0,1,0.5230769230769231,1.015625,6737.1875,Yes,0.8404
PRV51179,26,5000,192.30769230769232,1400,0.8076923076923077,0.0,0.0,69.76923076923077,0,26,26,14,0.0,0,0.0,1.0,192.30769230769232,No,0.0019
