State,total_claims,fraud_claims,avg_reimbursement,fraud_rate_pct
State_46,3381,2124,994.84,62.82
State_5,51350,30335,934.18,59.07
State_49,14997,8613,953.83,57.43
State_22,13624,7798,927.83,57.24
State_31,15940,9112,1000.93,57.16
State_6,7200,3666,957.98,50.92
State_32,3456,1739,779.35,50.32
State_33,35024,17492,1020.74,49.94
State_39,24251,11448,1041.15,47.21
State_44,14418,6709,849.82,46.53
State_10,39073,17512,1062.15,44.82
State_24,7726,3453,1177.23,44.69
State_30,2654,1184,960.85,44.61
State_53,1098,478,842.77,43.53
State_26,12911,5301,1002.21,41.06
State_50,11740,4782,911.54,40.73
State_8,1530,612,778.18,40.0
State_23,21343,8538,773.42,40.0
State_16,7457,2733,939.64,36.65
State_14,24417,8509,926.94,34.85
State_1,10240,3525,1029.74,34.42
State_15,14213,4635,1021.68,32.61
State_13,2765,858,972.82,31.03
State_42,10491,3180,911.78,30.31
State_36,21291,6381,1085.42,29.97
State_45,34022,10135,1062.85,29.79
State_20,3833,1118,546.61,29.17
State_27,1995,576,969.43,28.87
State_9,619,178,1354.62,28.76
State_2,738,207,1114.0,28.05
State_7,5617,1470,1379.24,26.17
State_4,7571,1945,985.11,25.69
State_37,6990,1780,1105.45,25.46
State_11,17003,4123,1007.51,24.25
State_34,18905,4385,1039.99,23.19
State_21,11261,2576,1038.43,22.88
State_54,4233,957,1037.68,22.61
State_47,1827,402,1006.03,22.0
State_3,9344,2030,1086.52,21.73
State_29,1978,429,1534.43,21.69
State_19,7917,1687,1186.98,21.31
State_17,4884,1016,1078.43,20.8
State_52,9792,1953,1024.42,19.94
State_12,1706,308,981.13,18.05
State_18,10322,1679,924.08,16.27
State_43,2002,316,960.24,15.78
State_41,1110,156,765.45,14.05
State_38,5518,770,873.64,13.95
State_28,4168,516,1107.96,12.38
State_25,6682,819,1093.72,12.26
State_51,4644,466,1069.47,10.03
State_35,940,82,962.7,8.72
